Date,Close,High,Low,Open,Volume,Ticker
,INDUSTOWER.NS,INDUSTOWER.NS,INDUSTOWER.NS,INDUSTOWER.NS,INDUSTOWER.NS,
2024-01-01,202.75,206.35000610351562,195.5,198.10000610351562,25210453,INDUSTOWER
2024-01-02,202.14999389648438,209.0,197.25,201.8000030517578,20581788,INDUSTOWER
2024-01-03,207.6999969482422,209.35000610351562,200.3000030517578,202.9499969482422,16523995,INDUSTOWER
2024-01-04,216.4499969482422,219.8000030517578,208.0,208.0,20981115,INDUSTOWER
2024-01-05,222.14999389648438,229.9499969482422,217.10000610351562,218.0,40926196,INDUSTOWER
2024-01-08,213.10000610351562,223.1999969482422,212.0,222.5500030517578,12927707,INDUSTOWER
2024-01-09,211.9499969482422,217.60000610351562,209.8000030517578,217.0,15497766,INDUSTOWER
2024-01-10,214.25,221.0,211.8000030517578,221.0,21104217,INDUSTOWER
2024-01-11,214.64999389648438,219.25,213.0,214.9499969482422,11208037,INDUSTOWER
2024-01-12,216.39999389648438,218.1999969482422,214.0500030517578,215.89999389648438,10601045,INDUSTOWER
2024-01-15,216.39999389648438,216.39999389648438,216.39999389648438,216.39999389648438,0,INDUSTOWER
2024-01-16,219.5,222.25,213.3000030517578,222.1999969482422,13370944,INDUSTOWER
2024-01-17,211.25,218.6999969482422,209.3000030517578,215.89999389648438,12467379,INDUSTOWER
2024-01-18,215.9499969482422,219.0,206.0,212.10000610351562,20306069,INDUSTOWER
2024-01-19,220.35000610351562,221.89999389648438,215.85000610351562,217.89999389648438,14521093,INDUSTOWER
2024-01-23,217.10000610351562,225.39999389648438,215.8000030517578,216.1999969482422,15110861,INDUSTOWER
2024-01-24,229.9499969482422,236.0,219.0,224.89999389648438,45883653,INDUSTOWER
2024-01-25,225.4499969482422,233.4499969482422,221.1999969482422,232.25,16159229,INDUSTOWER
2024-01-29,232.25,233.9499969482422,226.10000610351562,227.0,11621907,INDUSTOWER
2024-01-30,229.9499969482422,234.85000610351562,228.64999389648438,234.0500030517578,13591981,INDUSTOWER
2024-01-31,221.9499969482422,230.75,220.6999969482422,230.10000610351562,13074866,INDUSTOWER
2024-02-01,219.0,223.4499969482422,210.8000030517578,215.0,179433641,INDUSTOWER
2024-02-02,216.14999389648438,222.39999389648438,215.5,221.35000610351562,20610570,INDUSTOWER
2024-02-05,214.5,218.1999969482422,213.14999389648438,216.5,12688736,INDUSTOWER
2024-02-06,221.0,222.8000030517578,213.14999389648438,215.0500030517578,21232928,INDUSTOWER
2024-02-07,225.64999389648438,226.5500030517578,215.0,224.0,31399900,INDUSTOWER
2024-02-08,227.60000610351562,230.39999389648438,225.0,226.8000030517578,22948763,INDUSTOWER
2024-02-09,226.14999389648438,229.0500030517578,217.9499969482422,228.89999389648438,19574909,INDUSTOWER
2024-02-12,213.5500030517578,226.39999389648438,210.35000610351562,226.39999389648438,12889298,INDUSTOWER
2024-02-13,209.39999389648438,214.5,206.35000610351562,213.5,16041187,INDUSTOWER
2024-02-14,215.9499969482422,218.6999969482422,207.0,207.64999389648438,12948046,INDUSTOWER
2024-02-15,221.25,223.64999389648438,216.5500030517578,217.9499969482422,17812731,INDUSTOWER
2024-02-16,220.5500030517578,224.8000030517578,218.9499969482422,221.85000610351562,7867687,INDUSTOWER
2024-02-19,223.1999969482422,228.0,220.60000610351562,222.0500030517578,14359432,INDUSTOWER
2024-02-20,221.39999389648438,225.0,219.39999389648438,223.25,10004050,INDUSTOWER
2024-02-21,218.85000610351562,225.85000610351562,216.89999389648438,223.0,11554309,INDUSTOWER
2024-02-22,225.14999389648438,226.10000610351562,217.5,220.5,11796419,INDUSTOWER
2024-02-23,241.14999389648438,245.5,231.10000610351562,231.64999389648438,77810544,INDUSTOWER
2024-02-26,246.35000610351562,252.89999389648438,243.3000030517578,245.0,47416676,INDUSTOWER
2024-02-27,240.25,250.39999389648438,239.10000610351562,247.0,19963258,INDUSTOWER
2024-02-28,244.64999389648438,250.39999389648438,234.5,240.5,54016111,INDUSTOWER
2024-02-29,252.8000030517578,255.1999969482422,240.39999389648438,244.0,32290220,INDUSTOWER
2024-03-01,263.1000061035156,264.1499938964844,246.4499969482422,252.8000030517578,37746325,INDUSTOWER
2024-03-04,268.1000061035156,269.79998779296875,263.3999938964844,265.54998779296875,12237066,INDUSTOWER
2024-03-05,261.45001220703125,271.3500061035156,260.3999938964844,267.45001220703125,16010730,INDUSTOWER
2024-03-06,252.9499969482422,261.0,246.0,261.0,24899815,INDUSTOWER
2024-03-07,255.39999389648438,258.3500061035156,252.5500030517578,254.1999969482422,9619303,INDUSTOWER
2024-03-11,247.4499969482422,255.1999969482422,246.39999389648438,254.0,8073625,INDUSTOWER
2024-03-12,247.1999969482422,250.5500030517578,241.6999969482422,249.0500030517578,10111209,INDUSTOWER
2024-03-13,236.39999389648438,249.5500030517578,231.3000030517578,248.0,16039868,INDUSTOWER
2024-03-14,245.6999969482422,247.85000610351562,227.25,234.85000610351562,15267590,INDUSTOWER
2024-03-15,248.35000610351562,252.39999389648438,241.1999969482422,244.1999969482422,14024872,INDUSTOWER
2024-03-18,248.5,251.0,245.85000610351562,249.8000030517578,5938154,INDUSTOWER
2024-03-19,238.25,251.60000610351562,234.0,249.0,30394055,INDUSTOWER
2024-03-20,250.6999969482422,252.1999969482422,241.5500030517578,242.0,30243183,INDUSTOWER
2024-03-21,250.1999969482422,254.8000030517578,249.35000610351562,253.0,9360207,INDUSTOWER
2024-03-22,271.29998779296875,275.20001220703125,250.1999969482422,250.5,33142623,INDUSTOWER
2024-03-26,283.6499938964844,286.0,274.3999938964844,279.0,51320717,INDUSTOWER
2024-03-27,283.6000061035156,286.75,279.3500061035156,283.6499938964844,15903523,INDUSTOWER
2024-03-28,291.1499938964844,292.75,283.25,283.6000061035156,20460251,INDUSTOWER
2024-04-01,315.20001220703125,319.5,292.1499938964844,294.8999938964844,40267500,INDUSTOWER
2024-04-02,304.75,314.5,303.6499938964844,314.5,18843574,INDUSTOWER
2024-04-03,300.54998779296875,307.3999938964844,298.3999938964844,304.79998779296875,21197899,INDUSTOWER
2024-04-04,306.6000061035156,310.0,301.54998779296875,304.04998779296875,13875200,INDUSTOWER
2024-04-05,314.0,321.54998779296875,302.1000061035156,305.95001220703125,21960872,INDUSTOWER
2024-04-08,327.79998779296875,331.5,315.95001220703125,316.5,28736885,INDUSTOWER
2024-04-09,328.0,331.0,324.20001220703125,328.5,13705541,INDUSTOWER
2024-04-10,326.70001220703125,330.0,317.1499938964844,325.0,17295594,INDUSTOWER
2024-04-12,328.04998779296875,336.0,323.70001220703125,331.8999938964844,20855397,INDUSTOWER
2024-04-15,334.54998779296875,337.75,322.25,322.3500061035156,15430900,INDUSTOWER
